role,provider,retained_calls,pass,reported_tokens,calls_with_token_data,mean_success_seconds,median_success_seconds
subject,claude,96,96,57511,96,13.956113851927512,10.436119854508433
subject,gpt,96,96,149705,96,27.95251610934368,21.178183957992587
subject,gemini,96,96,247574,96,19.775906037240322,20.59353883349104
subject,qwen,96,95,242655,95,39.27678245392224,36.400222124997526
subject,kimi,96,4,8681,4,42.79492374975234,43.09006616601255
judge,claude,387,387,566296,387,24.138440234927646,19.048637999996572
judge,gpt,387,276,2697930,276,105.42016233513458,90.2001301664859
judge,gemini,387,384,2684790,384,37.57961662129188,26.397581854544114
judge,qwen,0,0,,0,,
judge,kimi,0,0,,0,,
